date,Open,High,Low,close,Volume,Prev. Day Open Interest
2013-07-16,1677.75,1679.5,1666.5,1671.25,1170827,2735765
2013-07-15,1670,1679.5,1669.75,1677.5,910540,2727688
2013-07-12,1669,1674.25,1666.25,1670.25,1143081,2740429
2013-07-11,1658.25,1671.75,1657.5,1670,1449729,2721338
2013-07-10,1647,1658.75,1641.25,1648.5,1459781,2700511
2013-07-09,1636.75,1649,1635.75,1645.5,1269733,2672567
2013-07-08,1628.5,1639.5,1626,1635.5,1316733,2681333
2013-07-05,1609,1630.75,1608.25,1627.25,1718922,2700206
2013-07-03,1607,1613,1594,1609,1029810,2687031
2013-07-02,1606.75,1618.5,1600.25,1607.25,1668386,2667491
2013-07-01,1600.25,1620.5,1593.25,1606.75,1550499,2662628
2013-06-28,1606.25,1614.5,1594.25,1599.25,2142572,2660253
2013-06-27,1596.75,1614.25,1594.75,1606.5,1588290,2657544
2013-06-26,1580.25,1601.25,1573,1595.5,1717573,2713614
2013-06-25,1566.5,1587.75,1558.25,1581.5,2019829,2736050
2013-06-24,1583.75,1586.25,1553.25,1566.25,2837880,2700749
2013-06-21,1584.25,1597.25,1570.5,1584,2972984,2711374
2013-06-20,1620.75,1623,1577,1584,3636226,2640697
2013-06-19,1646.5,1649,1620.25,1623.75,2365202,2421431
2013-06-18,1634.75,1648.75,1632.25,1645.25,1770620,1921432
2013-06-17,1618.75,1641,1618,1633.75,2107228,1505868
2013-06-14,1631.5,1635,1617.25,1618.5,1838205,1095330
2013-06-13,1605,1633.5,1591.75,1631,850751,803534
2013-06-12,1622.25,1632.25,1603.5,1604,423619,539058
2013-06-11,1636,1636.5,1615.75,1621.25,201092,439456
2013-06-10,1630.75,1642.5,1628.5,1636.25,140098,347713
2013-06-07,1616.25,1638,1612.25,1632.75,64476,315940
2013-06-06,1603,1618,1591,1616.75,63878,288905
2013-06-05,1623.25,1626,1599.5,1602,51861,270185
2013-06-04,1629.75,1639.75,1616,1625.5,43128,251994
2013-06-03,1623.25,1632.75,1615.25,1630.5,44752,237920
2013-05-31,1648.55,1653.2,1621.65,1624.4,530238.8,814080.4
2013-05-30,1643.05,1657.3,1637.85,1650.05,715700.6,1399597
2013-05-29,1652.25,1654.45,1635.7,1644.7,1288230.4,1984247.4
